Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_38_955.jpg;-1.611181;1;0;1.417107;98.83717;84.49041;1.244082;232.7581;-0.0008369488
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_018.jpg;-4.593777;1;0;1.462339;98.76366;84.39836;1.248328;232.3294;0.0009583749
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_084.jpg;-7.494746;1;0;1.508405;98.70496;84.32831;1.244245;231.7035;0.002444103
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_151.jpg;-10.4971;1;0;1.568921;98.64262;84.25766;1.246581;230.813;359.9924
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_218.jpg;-13.49433;1;0;1.611647;98.55332;84.1641;1.232007;229.1467;359.9408
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_285.jpg;-15;1;0;1.653533;98.48209;84.09507;1.176095;227.6139;359.8953
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_351.jpg;-15;1;0;1.712378;98.40717;84.02663;1.100645;226.0154;359.841
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_418.jpg;-12.01069;1;0;1.757334;98.30203;83.93445;1.018759;224.0795;359.7667
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_484.jpg;-9.012977;1;0;1.803481;98.21995;83.86367;0.9766288;222.9178;359.7359
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_552.jpg;-5.984387;1;0;1.86477;98.13531;83.79118;0.9533013;222.0237;359.7322
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_618.jpg;-3.007629;1;0;1.910863;98.01865;83.69091;0.9769957;221.3103;359.7652
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_685.jpg;-0.003479719;1;0;1.95435;97.92892;83.6123;1.040574;221.146;359.8265
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_751.jpg;0;1;0;2.013168;97.83694;83.5312;1.143459;221.1366;359.8997
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_818.jpg;-3.010994;1;0;2.056343;97.71017;83.42152;1.288261;220.8936;-0.002568
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_884.jpg;-5.99949;1;0;2.099839;97.61108;83.34066;1.34468;220.3097;0.002044924
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_39_951.jpg;-9.002791;1;0;2.159518;97.50927;83.26134;1.313734;219.3918;0.004066365
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_018.jpg;-11.99398;1;0;2.201699;97.36689;83.15842;1.251271;217.6377;359.9613
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_085.jpg;-15;1;0;2.241262;97.25473;83.08465;1.188907;215.9108;359.8566
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_151.jpg;-15;1;0;2.292994;97.13926;83.01371;1.067213;213.9892;359.7498
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_218.jpg;-11.98684;1;0;2.336219;96.97981;82.92208;0.8637509;211.644;359.605
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_284.jpg;-8.998622;1;0;2.380504;96.85597;82.85415;0.7281765;210.2471;359.4968
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_351.jpg;-5.99532;1;0;2.438429;96.72883;82.78596;0.6185701;209.1757;359.4093
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_418.jpg;-2.997866;1;0;2.481585;96.5548;82.69321;0.5175145;208.3064;359.359
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_485.jpg;0;1;0;2.524043;96.42104;82.6214;0.4922644;208.075;359.3733
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_551.jpg;0;1;0;2.579859;96.28417;82.54778;0.5268579;208.0399;359.4094
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_618.jpg;0;1;0;2.621064;96.09707;82.44724;0.6501492;208.0478;359.4849
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_684.jpg;0;1;0;2.661673;95.95388;82.37;0.7721974;208.071;359.5769
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_751.jpg;0;1;0;2.717763;95.80817;82.29141;0.9144127;208.0901;359.6891
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_818.jpg;0;1;0;2.758982;95.61012;82.18449;1.1308;208.1239;359.8595
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_885.jpg;0;1;0;2.800103;95.45885;82.10271;1.30793;208.1521;-0.004163604
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_40_950.jpg;0;1;0;2.853819;95.30534;82.02222;1.42053;208.1266;-0.002224817
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_017.jpg;0;1;0;2.900379;95.10042;81.91422;1.355581;208.1119;-0.0008170766
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_084.jpg;0;1;0;2.944893;94.94381;81.83154;1.326542;208.0931;-0.0007663071
/home/amin/Dropbox/Other/OnlineCourses/Robotics/Project1/IMG/robocam_2017_08_20_16_38_41_151.jpg;-1.499666;1;0;2.998871;94.7845;81.74757;1.329563;208.0451;-0.0007616109
